# Settings text, English on the left, Indonesian on the right, one entry per line, tab separated.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
# Keep %s and %d placeholders, {tokens} and product names as they are.
Settings	Pengaturan
No limit	Tanpa batas
Hide comment popup ads	Sembunyikan iklan popup di komentar
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.	Hentikan animasi merek yang muncul di atas komentar saat ketikan seseorang cocok dengan pemicu pengiklan.
Show the handle instead of the name	Tampilkan nama pengguna, bukan nama tampilan
Show @username beside a video instead of the display name the creator chose.	Tampilkan @namapengguna di samping video, bukan nama tampilan pilihan kreator.
Hide the avatar and follow button	Sembunyikan foto profil dan tombol ikuti
Hide the creator's picture and the plus button at the top of the right column.	Sembunyikan foto kreator dan tombol tambah di bagian atas kolom kanan.
Hide the like button	Sembunyikan tombol suka
Hide the heart and its count in the right column.	Sembunyikan ikon hati dan angkanya di kolom kanan.
Hide the comments button	Sembunyikan tombol komentar
Hide the speech bubble and its count in the right column.	Sembunyikan gelembung komentar dan angkanya di kolom kanan.
Hide the favourite button	Sembunyikan tombol favorit
Hide the bookmark and its count in the right column.	Sembunyikan ikon markah dan angkanya di kolom kanan.
Hide the music disc	Sembunyikan piringan musik
Hide the spinning record at the bottom of the right column.	Sembunyikan piringan yang berputar di bagian bawah kolom kanan.
Hide the share button	Sembunyikan tombol bagikan
Hide the arrow and its count in the right column.	Sembunyikan ikon panah dan angkanya di kolom kanan.
Min/Max comments	Komentar min/maks
The minimum or maximum comments on a video to show.	Jumlah komentar minimum atau maksimum agar video ditampilkan.
Min/Max favourites	Favorit min/maks
The minimum or maximum favourites of a video to show.	Jumlah favorit minimum atau maksimum agar video ditampilkan.
Min/Max shares	Bagikan min/maks
The minimum or maximum shares of a video to show.	Jumlah bagikan minimum atau maksimum agar video ditampilkan.
Comma separated account handles or user ids. These accounts are always skipped. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	Nama pengguna atau id pengguna dipisahkan koma. Akun ini selalu dilewati. Entri di antara garis miring, seperti /^news_/, adalah pola yang dicocokkan dengan nama pengguna dan nama tampilan.
Hushfeed cannot read the creator pattern %1$s	Hushfeed tidak bisa membaca pola kreator %1$s
Only from these countries	Hanya dari negara ini
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	Kode negara dipisahkan koma, seperti GB, IE. Video dari tempat lain disembunyikan. Kosongkan untuk semua negara.
Never from these countries	Tidak pernah dari negara ini
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	Kode negara dipisahkan koma. Video dari negara ini disembunyikan, apa pun isi daftar di atas.
Hide picture comments	Sembunyikan komentar bergambar
Hide comments made of an image or a sticker instead of words.	Sembunyikan komentar yang berupa gambar atau stiker, bukan kata-kata.
Cleared. Tap again to put the record back.	Terhapus. Ketuk lagi untuk mengembalikan catatannya.
Cleared %1$s videos. Tap again to put them back.	%1$s video terhapus. Ketuk lagi untuk mengembalikannya.
Put back %1$s videos	%1$s video dikembalikan
There was nothing to clear	Tidak ada yang bisa dihapus
Hide the counts on the right column	Sembunyikan angka di kolom kanan
Hide the numbers under the like, comment, favourite and share buttons. The buttons stay.	Sembunyikan angka di bawah tombol suka, komentar, favorit, dan bagikan. Tombolnya tetap ada.
Seen video history cleared. Tap again to put it back.	Riwayat video yang sudah ditonton dihapus. Ketuk lagi untuk mengembalikannya.
Seen video history put back	Riwayat video yang sudah ditonton dikembalikan
There was nothing to put back	Tidak ada yang bisa dikembalikan
Save the sound as well	Simpan suaranya juga
Write the video's sound beside it as an .m4a. Android 10 and later file audio separately, so it lands in Music under the same folder name as your videos.	Simpan suara video di sebelahnya sebagai .m4a. Android 10 ke atas menyimpan audio secara terpisah, jadi berkasnya masuk ke Music dengan nama folder yang sama seperti folder videomu.
Animated sticker format	Format stiker animasi
Video (MP4)	Video (MP4)
GIF	GIF
WebP, exactly as TikTok sent it	WebP, persis seperti yang dikirim TikTok
Save a profile picture on a long press	Simpan foto profil dengan tekan lama
Press and hold a profile picture to save the full size original to your photo destination.	Tekan dan tahan foto profil untuk menyimpan aslinya dalam ukuran penuh ke lokasi simpan fotomu.
Open the profile again and try once more	Buka lagi profilnya dan coba sekali lagi
This profile picture isn't available to save	Foto profil ini tidak bisa disimpan
Still saving the last one	Yang sebelumnya masih disimpan
Profile picture saved to %1$s	Foto profil disimpan ke %1$s
The profile picture couldn't be saved.	Foto profilnya tidak bisa disimpan.
Save a story on a long press	Simpan Story dengan tekan lama
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	Tekan dan tahan Story untuk menyimpannya. Story tidak punya tombol simpan sendiri, dan menahannya adalah cara TikTok menjeda, jadi gestur itu diambil alih.
Open the story again and try once more	Buka lagi Story-nya dan coba sekali lagi
This story isn't available to save	Story ini tidak bisa disimpan
Saving the story	Menyimpan Story
Story saved to %1$s	Story disimpan ke %1$s
The story couldn't be saved.	Story-nya tidak bisa disimpan.
Hide search suggestions	Sembunyikan saran pencarian
Hide the searches TikTok offers before you type. Your own search history stays.	Sembunyikan pencarian yang ditawarkan TikTok sebelum kamu mengetik. Riwayat pencarianmu sendiri tetap ada.
Share links through another host	Bagikan tautan lewat host lain
A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.	Host pengganti tiktok.com saat kamu membagikan atau menyalin tautan, misalnya vxtiktok.com. Kosongkan untuk membagikan tautan TikTok sendiri. Hanya tautan TikTok yang diubah, dan hanya bagian host-nya, tidak ada yang dikirim ke mana pun.
Storage permission is needed to save a story	Izin penyimpanan dibutuhkan untuk menyimpan Story
Saved %1$s of %2$s photos before the story failed	%1$s dari %2$s foto tersimpan sebelum Story gagal
