# Settings text, English on the left, German on the right, one entry per line, tab separated.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
# Keep %s and %d placeholders, {tokens} and product names as they are.
Settings	Einstellungen
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	ByteDance-AppLog-Ereignisse, AppsFlyer-Attribution, explizite Firebase-Bildschirmberichte und Absturzmeldungen nicht mehr senden. TikToks eigene Diagnose verstummt damit ebenfalls.
Show block button on videos	Blockieren-Schaltfläche auf Videos anzeigen
Add a block button to the video player that blocks the account that posted the current video in one tap. An undo action is shown after each block.	Dem Videoplayer eine Schaltfläche hinzufügen, die das Konto hinter dem aktuellen Video mit einem Tippen blockiert. Nach jeder Blockierung wird eine Rückgängig-Aktion angezeigt.
Not interested button	Schaltfläche „Kein Interesse“
Add a button beside the block control to send feedback about the current video.	Neben der Blockieren-Schaltfläche eine Schaltfläche hinzufügen, um Feedback zum aktuellen Video zu senden.
Use non-personalized search	Nicht personalisierte Suche verwenden
Use TikTok's non-personalized search state instead of the saved account choice.	TikToks nicht personalisierten Suchmodus statt der gespeicherten Kontoauswahl verwenden.
Show Live search	Live-Suche anzeigen
Keep the screen's refresh rate	Bildwiederholrate des Bildschirms behalten
Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.	Verhindert, dass TikTok den Bildschirm auf die Bildrate des laufenden Videos herunterregelt. Auf einem 90 oder 120 Hz Telefon bremst diese Anfrage die ganze App auf die Rate des Videos aus, das Scrollen eingeschlossen.
Show TikTok's search entry in the Live drawer where supported.	TikToks Sucheingang im Live-Bereich anzeigen, wo das unterstützt wird.
Do not translate languages	Sprachen nicht übersetzen
No additional languages excluded	Keine weiteren Sprachen ausgeschlossen
%d languages excluded	%d Sprachen ausgeschlossen
Leave maximum empty to keep it unlimited.	Lass das Maximum leer, damit es unbegrenzt bleibt.
Folder picker is not available	Ordnerauswahl ist nicht verfügbar
Folder picker is not available on this device	Ordnerauswahl ist auf diesem Gerät nicht verfügbar
Only internal storage folders are supported	Nur Ordner im internen Speicher werden unterstützt
Could not open settings section	Einstellungsbereich konnte nicht geöffnet werden

Make TikTok yours.	Mach TikTok zu deinem TikTok.
YOUR EXPERIENCE	DEIN TIKTOK
%s on	%s aktiv
Source code and releases	Quellcode und Versionen
Choose what reaches your feed	Wähle aus, was in deinem Feed erscheint
Arrange your feed and bottom tabs	Ordne deine Feed-Tabs und unteren Tabs an
Captions, gestures and on-screen controls	Untertitel, Gesten und Bildschirmelemente
Filters, translation and copy options	Filter, Übersetzung und Kopieroptionen
Quality, files and subtitles	Qualität, Dateien und Untertitel
Quality, speed and automatic advance	Qualität, Tempo und automatischer Wechsel
Choose which rows and controls appear	Wähle sichtbare Zeilen und Bedienelemente
People, shortcuts and sending controls	Kontakte, Verknüpfungen und Versandoptionen
Country and network preferences	Land und Netzwerkeinstellungen
Links, privacy and player tools	Links, Datenschutz und Wiedergabewerkzeuge
Backups and troubleshooting	Sicherungen und Fehlerdiagnose
Hushfeed hid a TikTok puzzle. Turn off Hide CAPTCHA popups if something stops working.	Hushfeed hat ein TikTok-Rätsel ausgeblendet. Schalte Rätsel-Dialoge ausblenden aus, wenn etwas nicht mehr funktioniert.
TikTok refused the follow: %1$s	TikTok hat das Folgen abgelehnt: %1$s
A hidden puzzle may be the cause.	Ein ausgeblendetes Rätsel kann die Ursache sein.
code %1$s	Code %1$s
On mobile data	Bei mobilen Daten
Fit the video to the screen	Video an den Bildschirm anpassen
Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.	Das ganze Video zeigen, statt es auf das Fenster zuzuschneiden. Auf einem hohen Telefon ändert sich nichts, dort passt es bereits. Auf einem aufgeklappten Falttelefon, einem quadratischeren Bildschirm oder im geteilten Bildschirm werden die Seiten oder die Enden nicht mehr abgeschnitten.
No limit	Keine Grenze
Hide comment popup ads	Werbe-Popups in Kommentaren ausblenden
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.	Stoppt die Markenanimation über den Kommentaren, wenn das Getippte zu einem Werbe-Auslöser passt.
Show the handle instead of the name	@Namen statt Anzeigenamen zeigen
Show @username beside a video instead of the display name the creator chose.	Zeigt @Benutzername neben einem Video statt des Anzeigenamens, den die Person gewählt hat.
Hide the avatar and follow button	Bild und Folgen-Button ausblenden
Hide the creator's picture and the plus button at the top of the right column.	Bild und Plus-Button oben in der rechten Spalte ausblenden
Hide the like button	Like-Button ausblenden
Hide the heart and its count in the right column.	Herz und Zähler in der rechten Spalte ausblenden
Hide the comments button	Kommentar-Button ausblenden
Hide the speech bubble and its count in the right column.	Sprechblase und Zähler in der rechten Spalte ausblenden
Hide the favourite button	Favoriten-Button ausblenden
Hide the bookmark and its count in the right column.	Lesezeichen und Zähler in der rechten Spalte ausblenden
Hide the music disc	Musikplatte ausblenden
Hide the spinning record at the bottom of the right column.	Drehende Platte unten in der rechten Spalte ausblenden
Hide the share button	Teilen-Button ausblenden
Hide the arrow and its count in the right column.	Pfeil und Zähler in der rechten Spalte ausblenden
Min/Max comments	Min/Max Kommentare
The minimum or maximum comments on a video to show.	Mindest- oder Höchstzahl an Kommentaren, damit ein Video gezeigt wird.
Min/Max favourites	Min/Max Favoriten
The minimum or maximum favourites of a video to show.	Mindest- oder Höchstzahl an Favoriten, damit ein Video gezeigt wird.
Min/Max shares	Min/Max Teilen
The minimum or maximum shares of a video to show.	Mindest- oder Höchstzahl an Teilungen, damit ein Video gezeigt wird.
Comma separated account handles or user ids. These accounts are always skipped. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	Kommagetrennte Konto-Namen oder Nutzer-IDs. Diese Konten werden immer übersprungen. Ein Eintrag zwischen Schrägstrichen, etwa /^news_/, ist ein Muster für den @Namen und den Anzeigenamen.
Hushfeed cannot read the creator pattern %1$s	Hushfeed kann das Creator-Muster %1$s nicht lesen
Only from these countries	Nur aus diesen Ländern
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	Kommagetrennte Ländercodes, etwa GB, IE. Videos von überall sonst werden ausgeblendet. Leer lassen für alle Länder.
Never from these countries	Nie aus diesen Ländern
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	Kommagetrennte Ländercodes. Videos von dort werden ausgeblendet, egal was die Liste darüber sagt.
Hide picture comments	Bild-Kommentare ausblenden
Hide comments made of an image or a sticker instead of words.	Kommentare ausblenden, die aus einem Bild oder Sticker statt aus Worten bestehen.
Cleared. Tap again to put the record back.	Gelöscht. Tippe erneut, um alles zurückzuholen.
Cleared %1$s videos. Tap again to put them back.	%1$s Videos gelöscht. Tippe erneut, um sie zurückzuholen.
Put back %1$s videos	%1$s Videos zurückgeholt
There was nothing to clear	Es gab nichts zu löschen
Hide the counts on the right column	Zahlen in der rechten Spalte ausblenden
Hide the numbers under the like, comment, favourite and share buttons. The buttons stay.	Blendet die Zahlen unter Like, Kommentar, Favorit und Teilen aus. Die Buttons bleiben.
Seen video history cleared. Tap again to put it back.	Verlauf gesehener Videos gelöscht. Tippe erneut, um ihn zurückzuholen.
Seen video history put back	Verlauf gesehener Videos zurückgeholt
There was nothing to put back	Es gab nichts zurückzuholen
Save the sound as well	Ton ebenfalls speichern
Write the video's sound beside it as an .m4a. Android 10 and later file audio separately, so it lands in Music under the same folder name as your videos.	Den Ton des Videos daneben als .m4a speichern. Ab Android 10 wird Audio getrennt abgelegt, also landet die Datei unter Music im Ordner mit dem Namen deines Videoordners.
Animated sticker format	Format animierter Sticker
Video (MP4)	Video (MP4)
GIF	GIF
WebP, exactly as TikTok sent it	WebP, genau so wie TikTok es geschickt hat
Save a profile picture on a long press	Profilbild per langem Druck speichern
Press and hold a profile picture to save the full size original to your photo destination.	Ein Profilbild gedrückt halten, um das Original in voller Größe im Fotoordner zu speichern.
Open the profile again and try once more	Öffne das Profil erneut und versuche es noch einmal
This profile picture isn't available to save	Dieses Profilbild lässt sich nicht speichern
Still saving the last one	Das letzte wird noch gespeichert
Profile picture saved to %1$s	Profilbild gespeichert unter %1$s
The profile picture couldn't be saved.	Das Profilbild konnte nicht gespeichert werden.
Save a story on a long press	Story per langem Druck speichern
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	Eine Story gedrückt halten, um sie zu speichern. Stories haben keinen eigenen Speicher-Button, und Halten pausiert bei TikTok, also übernimmt das diese Geste.
Open the story again and try once more	Öffne die Story erneut und versuche es noch einmal
This story isn't available to save	Diese Story lässt sich nicht speichern
Saving the story	Story wird gespeichert
Story saved to %1$s	Story gespeichert unter %1$s
The story couldn't be saved.	Die Story konnte nicht gespeichert werden.
Hide search suggestions	Suchvorschläge ausblenden
Hide the searches TikTok offers before you type. Your own search history stays.	Die Suchen ausblenden, die TikTok anbietet, bevor du tippst. Dein eigener Suchverlauf bleibt.
Share links through another host	Links über einen anderen Host teilen
A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.	Ein Host, der beim Teilen oder Kopieren an die Stelle von tiktok.com tritt, zum Beispiel vxtiktok.com. Leer lassen, um TikToks eigene Links zu teilen. Geändert werden nur TikTok-Links und nur der Host, es wird nichts irgendwohin geschickt.
Storage permission is needed to save a story	Zum Speichern einer Story wird die Speicherberechtigung gebraucht
Saved %1$s of %2$s photos before the story failed	%1$s von %2$s Fotos gespeichert, dann ist die Story fehlgeschlagen
